symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
DOT,BUY,LIMIT,IOC,152.8,4.782,4.753,FILLED,152.8,152.8,1739057695278,730.6896
BCH,BUY,LIMIT,IOC,0.244,325.75,324.00,FILLED,0.244,0.244,1739057696086,79.483
BNX,SELL,LIMIT,IOC,465.8,0.388056,0.391998,FILLED,6.5,465.8,1739057698084,180.7564848
FET,BUY,LIMIT,IOC,207,0.7477624,0.7404000,FILLED,127,207,1739057732365,154.7868168
BERA,BUY,LIMIT,IOC,36.3,6.071098,6.012000,FILLED,36.3,36.3,1739057734372,220.3808574
BERA,BUY,LIMIT,IOC,28.7,6.071550,6.015000,FILLED,5.3,28.7,1739057736344,174.253485
BNX,SELL,LIMIT,IOC,223.4,0.387698,0.389900,FILLED,223.4,223.4,1739057740243,86.6117332
BNX,SELL,LIMIT,IOC,112.9,0.386699,0.389100,FILLED,112.9,112.9,1739057741354,43.658317100000005
BERA,BUY,LIMIT,IOC,4.4,6.077786,6.023000,FILLED,4.4,4.4,1739057743418,26.7422584
BNX,SELL,LIMIT,IOC,979.8,0.384976,0.388600,FILLED,433.5,979.8,1739057744368,377.1994848
BNX,SELL,LIMIT,IOC,2402.2,0.384884,0.388593,FILLED,758.4,2402.2,1739057745572,924.5683448
BNX,SELL,LIMIT,IOC,25.3,0.383546,0.385800,FILLED,25.3,25.3,1739057747217,9.703713800000001
HMSTR,SELL,LIMIT,IOC,65824,0.0017137,0.0017300,FILLED,65824,65824,1739057747242,112.80258880000001
BNX,SELL,LIMIT,IOC,73.8,0.382603,0.385300,FILLED,73.8,73.8,1739057748270,28.236101400000003
BNX,SELL,LIMIT,IOC,1798.5,0.381694,0.385255,FILLED,794.8,1798.5,1739057753627,686.4766589999999
BERA,BUY,LIMIT,IOC,29.0,6.084823,6.027000,FILLED,29.0,29.0,1739057756105,176.459867
BNX,SELL,LIMIT,IOC,1163.9,0.381327,0.384186,FILLED,44.1,1163.9,1739057765586,443.8264953000001
BNX,SELL,LIMIT,IOC,276.0,0.380695,0.381800,FILLED,201.1,276.0,1739057767177,105.07182
BNX,SELL,LIMIT,IOC,28.7,0.378651,0.381500,FILLED,28.7,28.7,1739057768183,10.8672837
VOXEL,BUY,LIMIT,IOC,1758,0.1167368,0.1154000,FILLED,1758,1758,1739057771217,205.22329440000001
AXL,BUY,LIMIT,IOC,39.2,0.4577628,0.4539000,FILLED,39.2,39.2,1739057774524,17.944301760000002
BNX,SELL,LIMIT,IOC,192.4,0.377372,0.380000,FILLED,192.4,192.4,1739057785245,72.6063728
BNX,SELL,LIMIT,IOC,1991.5,0.376837,0.380907,FILLED,1226.7,1991.5,1739057786328,750.4708855
VOXEL,BUY,LIMIT,IOC,167,0.1178489,0.1164000,FILLED,167,167,1739057793143,19.680766300000002
VOXEL,BUY,LIMIT,IOC,1971,0.1182324,0.1167000,FILLED,1605,1971,1739057794228,233.0360604
ARC,BUY,LIMIT,IOC,105,0.1842628,0.1816813,FILLED,14,105,1739057806532,19.347594
ANIME,BUY,LIMIT,IOC,735,0.0296774,0.0294000,FILLED,735,735,1739057806532,21.812889
BERA,BUY,LIMIT,IOC,2.7,6.080204,6.024000,FILLED,2.7,2.7,1739057806532,16.416550800000003
AXL,BUY,LIMIT,IOC,13.0,0.4687000,0.4661000,FILLED,13.0,13.0,1739057810047,6.0931
BERA,BUY,LIMIT,IOC,72.1,6.089845,6.033000,FILLED,38.9,72.1,1739057814094,439.0778245
BERA,BUY,LIMIT,IOC,25.5,6.094114,6.038000,FILLED,25.5,25.5,1739057815596,155.399907
BERA,BUY,LIMIT,IOC,262.4,6.094399,6.039000,FILLED,61.2,262.4,1739057816597,1599.1702976
BERA,BUY,LIMIT,IOC,1176.3,6.108729,6.049825,FILLED,731.7,1176.3,1739057823408,7185.6979227
BERA,BUY,LIMIT,IOC,784.7,6.101367,6.044095,FILLED,191.0,784.7,1739057824432,4787.7426849
BERA,BUY,LIMIT,IOC,1546.4,6.119427,6.045757,FILLED,139.8,1546.4,1739057825793,9463.0819128
BERA,BUY,LIMIT,IOC,426.1,6.105958,6.047592,FILLED,14.9,426.1,1739057827120,2601.7487038000004
ARC,BUY,LIMIT,IOC,12803,0.1850508,0.1816046,FILLED,524,12803,1739057834286,2369.2053923999997
